date,house,median,temp,bcp_post_prob
2012-11-30,house_leak165,41.468476459825595,39.17639763450228,0.004
2012-12-31,house_leak165,42.26283939330436,39.01406710979691,0.006
2013-01-31,house_leak165,43.72393827689773,41.23487058142671,0.004
2013-02-28,house_leak165,43.02338928697934,38.54451420588175,0.002
2013-03-31,house_leak165,41.18138882444849,38.94496483063943,0.002
2013-04-30,house_leak165,39.593452158502686,34.72447871639776,0
2013-05-31,house_leak165,34.99847491315535,34.647674464761124,0
2013-06-30,house_leak165,29.031348915688444,28.654453202630602,0
2013-07-31,house_leak165,27.734299425985373,25.944911843053237,0
2013-08-31,house_leak165,34.727338851583866,31.286870453469863,0
2013-09-30,house_leak165,37.29091047234161,32.58724938949173,0
2013-10-31,house_leak165,38.39400115321152,36.32046499938142,0
2013-11-30,house_leak165,39.67676119311447,36.97716363202418,0.002
2013-12-31,house_leak165,40.16800550472513,35.52664089739535,0.004
2014-01-31,house_leak165,41.795862865960316,41.03133761769381,0
2014-02-28,house_leak165,41.11794768581623,39.5705769387055,0
2014-03-31,house_leak165,39.08248625263832,35.664521502087695,0
2014-04-30,house_leak165,37.302712216606324,34.65887868562509,0
2014-05-31,house_leak165,32.76231766586659,31.45058191895959,0
2014-06-30,house_leak165,26.656772792427713,23.42574593330666,0
2014-07-31,house_leak165,25.26149863575302,23.363310075237877,0
2014-08-31,house_leak165,32.42660564124752,28.893751990542164,0
2014-09-30,house_leak165,34.99490601893977,32.834380779825615,0.002
2014-10-31,house_leak165,35.887988773592554,34.13270275557311,0.002
2014-11-30,house_leak165,36.96722735783819,36.28163473966179,0
2014-12-31,house_leak165,37.9459537934738,36.6169450451439,0
2015-01-31,house_leak165,39.39449472256568,37.744153903475215,0
2015-02-28,house_leak165,38.55135370901684,37.00931021997548,0.002
2015-03-31,house_leak165,36.83758083797728,35.87949185474825,0.002
2015-04-30,house_leak165,35.20203395071172,32.33485366192711,0
2015-05-31,house_leak165,30.921163136682907,28.684658017366694,0
2015-06-30,house_leak165,24.942212033087646,23.37869045843259,0
2015-07-31,house_leak165,23.957780148920676,22.23627370507904,0.012
2015-08-31,house_leak165,31.097110205103714,29.506355322565035,0.016
2015-09-30,house_leak165,33.88402920570568,27.25198337653111,0.014
2015-10-31,house_leak165,35.01904036295342,32.69543811427171,0.042
2015-11-30,house_leak165,36.62168776827722,32.412017998586194,0.97
2015-12-31,house_leak165,37.54295302443494,8.523064740741624,0.996
2016-01-31,house_leak165,39.087210071931075,28.63995374142907,0.006
2016-02-29,house_leak165,38.67492390465566,29.780956839267372,0.014
2016-03-31,house_leak165,37.219025736297155,25.930276480487066,0.006
2016-04-30,house_leak165,35.55932292741517,24.493391054751037,0
2016-05-31,house_leak165,31.37457985980887,23.781192802689883,0
2016-06-30,house_leak165,25.947715712468227,19.327936133544203,0
2016-07-31,house_leak165,25.336598633443636,20.56154977594104,0
2016-08-31,house_leak165,32.95209190579738,25.850991564193606,0.002
2016-09-30,house_leak165,36.19468966203011,23.745292299804817,0
2016-10-31,house_leak165,37.57237744481536,26.526881080721125,0
2016-11-30,house_leak165,39.51113814499506,28.337268654204717,0
2016-12-31,house_leak165,40.9629437423465,27.6783823585231,0
2017-01-31,house_leak165,43.07284367825769,29.20005096360601,0.002
2017-02-28,house_leak165,42.82939709081231,31.528209233762926,0
2017-03-31,house_leak165,41.88907930391737,30.930677337750353,0
2017-04-30,house_leak165,40.58184635660381,29.534482019803864,0
2017-05-31,house_leak165,36.77222740764297,25.94563646020538,0
2017-06-30,house_leak165,31.493703329637796,22.185440092492414,0
2017-07-31,house_leak165,30.938464628325313,21.866130782751686,0.016
2017-08-31,house_leak165,38.67567736275987,29.888318182380658,NA
2012-11-30,house_leak168,41.468476459825595,39.66938870389281,0
2012-12-31,house_leak168,42.26283939330436,39.43621786462231,0.006
2013-01-31,house_leak168,43.72393827689773,41.76435120547362,0
2013-02-28,house_leak168,43.02338928697934,38.70572251378554,0.002
2013-03-31,house_leak168,41.18138882444849,39.51254873101781,0.002
2013-04-30,house_leak168,39.593452158502686,38.81385255733577,0.004
2013-05-31,house_leak168,34.99847491315535,32.58031411389483,0
2013-06-30,house_leak168,29.031348915688444,27.07633911996622,0.002
2013-07-31,house_leak168,27.734299425985373,27.238593711770882,0
2013-08-31,house_leak168,34.727338851583866,34.66207879135176,0
2013-09-30,house_leak168,37.29091047234161,38.91093167264106,0
2013-10-31,house_leak168,38.39400115321152,36.44918084935122,0
2013-11-30,house_leak168,39.67676119311447,36.85487998808905,0
2013-12-31,house_leak168,40.16800550472513,40.3657590348157,0
2014-01-31,house_leak168,41.795862865960316,39.220079046484734,0
2014-02-28,house_leak168,41.11794768581623,37.812265823572844,0.002
2014-03-31,house_leak168,39.08248625263832,37.76601628436496,0
2014-04-30,house_leak168,37.302712216606324,35.03118999854603,0
2014-05-31,house_leak168,32.76231766586659,30.330493597442466,0
2014-06-30,house_leak168,26.656772792427713,27.66768966158582,0
2014-07-31,house_leak168,25.26149863575302,24.669992971633445,0.002
2014-08-31,house_leak168,32.42660564124752,28.286719293955365,0.002
2014-09-30,house_leak168,34.99490601893977,34.22469999565074,0
2014-10-31,house_leak168,35.887988773592554,32.90870091826152,0
2014-11-30,house_leak168,36.96722735783819,36.624677200541505,0
2014-12-31,house_leak168,37.9459537934738,37.55482451892898,0
2015-01-31,house_leak168,39.39449472256568,37.48031069960605,0
2015-02-28,house_leak168,38.55135370901684,38.10352335867778,0
2015-03-31,house_leak168,36.83758083797728,33.45684914525383,0
